ont	gene
GOBP_CELLULAR_SENESCENCE	MAPK8
GOBP_CELLULAR_SENESCENCE	MAPK9
GOBP_CELLULAR_SENESCENCE	MAPKAPK5
GOBP_CELLULAR_SENESCENCE	MIR10A
GOBP_CELLULAR_SENESCENCE	MIR146A
GOBP_CELLULAR_SENESCENCE	MIR17
GOBP_CELLULAR_SENESCENCE	MIR188
GOBP_CELLULAR_SENESCENCE	MIR20B
GOBP_CELLULAR_SENESCENCE	MIR217
GOBP_CELLULAR_SENESCENCE	MIR22
GOBP_CELLULAR_SENESCENCE	MIR34A
GOBP_CELLULAR_SENESCENCE	MIR543
GOBP_CELLULAR_SENESCENCE	MIR590
GOBP_CELLULAR_SENESCENCE	NEK4
GOBP_CELLULAR_SENESCENCE	NEK6
GOBP_CELLULAR_SENESCENCE	NSMCE2
GOBP_CELLULAR_SENESCENCE	NUAK1
GOBP_CELLULAR_SENESCENCE	OPA1
GOBP_CELLULAR_SENESCENCE	PAWR
GOBP_CELLULAR_SENESCENCE	PLA2R1
GOBP_CELLULAR_SENESCENCE	PLK2
GOBP_CELLULAR_SENESCENCE	PML
GOBP_CELLULAR_SENESCENCE	PNPT1
GOBP_CELLULAR_SENESCENCE	PRKCD
GOBP_CELLULAR_SENESCENCE	PRMT6
GOBP_CELLULAR_SENESCENCE	RBL1
GOBP_CELLULAR_SENESCENCE	RSL1D1
GOBP_CELLULAR_SENESCENCE	SIRT1
GOBP_CELLULAR_SENESCENCE	SLC30A10
GOBP_CELLULAR_SENESCENCE	SMC5
GOBP_CELLULAR_SENESCENCE	SMC6
GOBP_CELLULAR_SENESCENCE	SPI1
GOBP_CELLULAR_SENESCENCE	SRF
GOBP_CELLULAR_SENESCENCE	TBX2
GOBP_CELLULAR_SENESCENCE	TBX3
GOBP_CELLULAR_SENESCENCE	TERC
GOBP_CELLULAR_SENESCENCE	TERF2
GOBP_CELLULAR_SENESCENCE	TERT
GOBP_CELLULAR_SENESCENCE	TP53
GOBP_CELLULAR_SENESCENCE	TWIST1
GOBP_CELLULAR_SENESCENCE	ULK3
GOBP_CELLULAR_SENESCENCE	VASH1
GOBP_CELLULAR_SENESCENCE	WNT16
GOBP_CELLULAR_SENESCENCE	YBX1
GOBP_CELLULAR_SENESCENCE	YPEL3
GOBP_CELLULAR_SENESCENCE	ZKSCAN3
GOBP_CELLULAR_SENESCENCE	ZMPSTE24
GOBP_CELLULAR_SENESCENCE	ZNF277
GOBP_MULTICELLULAR_ORGANISM_AGING	ADRA1A
GOBP_MULTICELLULAR_ORGANISM_AGING	ATM
GOBP_MULTICELLULAR_ORGANISM_AGING	AVPR1A
GOBP_MULTICELLULAR_ORGANISM_AGING	AVPR1B
GOBP_MULTICELLULAR_ORGANISM_AGING	CGAS
GOBP_MULTICELLULAR_ORGANISM_AGING	CISD2
GOBP_MULTICELLULAR_ORGANISM_AGING	COMP
GOBP_MULTICELLULAR_ORGANISM_AGING	COQ7
GOBP_MULTICELLULAR_ORGANISM_AGING	CRYAB
GOBP_MULTICELLULAR_ORGANISM_AGING	DDC
GOBP_MULTICELLULAR_ORGANISM_AGING	EDN1
GOBP_MULTICELLULAR_ORGANISM_AGING	EDNRA
GOBP_MULTICELLULAR_ORGANISM_AGING	ERCC1
GOBP_MULTICELLULAR_ORGANISM_AGING	GBA
GOBP_MULTICELLULAR_ORGANISM_AGING	GHRHR
GOBP_MULTICELLULAR_ORGANISM_AGING	GNA11
GOBP_MULTICELLULAR_ORGANISM_AGING	GNA12
GOBP_MULTICELLULAR_ORGANISM_AGING	GNA13
GOBP_MULTICELLULAR_ORGANISM_AGING	HELT
GOBP_MULTICELLULAR_ORGANISM_AGING	HYAL2
GOBP_MULTICELLULAR_ORGANISM_AGING	IDE
GOBP_MULTICELLULAR_ORGANISM_AGING	INHBB
GOBP_MULTICELLULAR_ORGANISM_AGING	INPP5D
GOBP_MULTICELLULAR_ORGANISM_AGING	LEP
GOBP_MULTICELLULAR_ORGANISM_AGING	LRRK2
GOBP_MULTICELLULAR_ORGANISM_AGING	MSH2
GOBP_MULTICELLULAR_ORGANISM_AGING	MSH6
GOBP_MULTICELLULAR_ORGANISM_AGING	NR5A1
GOBP_MULTICELLULAR_ORGANISM_AGING	PRDM2
GOBP_MULTICELLULAR_ORGANISM_AGING	RAD54B
GOBP_MULTICELLULAR_ORGANISM_AGING	RAD54L
GOBP_MULTICELLULAR_ORGANISM_AGING	RNF165
GOBP_MULTICELLULAR_ORGANISM_AGING	SEC63
GOBP_MULTICELLULAR_ORGANISM_AGING	SERP1
GOBP_MULTICELLULAR_ORGANISM_AGING	SLC1A2
GOBP_MULTICELLULAR_ORGANISM_AGING	TFCP2L1
GOBP_MULTICELLULAR_ORGANISM_AGING	TH
GOBP_MULTICELLULAR_ORGANISM_AGING	TP53
GOBP_MULTICELLULAR_ORGANISM_AGING	TP63
GOBP_MULTICELLULAR_ORGANISM_AGING	TREX1
GOBP_MULTICELLULAR_ORGANISM_AGING	WRN
GOBP_MULTICELLULAR_ORGANISM_AGING	ZMPSTE24
GOBP_MUSCLE_ATROPHY	ACTN3
GOBP_MUSCLE_ATROPHY	CFLAR
GOBP_MUSCLE_ATROPHY	FOXO3
GOBP_MUSCLE_ATROPHY	GATM
GOBP_MUSCLE_ATROPHY	GSN
GOBP_MUSCLE_ATROPHY	IL15
GOBP_MUSCLE_ATROPHY	MSTN
GOBP_MUSCLE_ATROPHY	MYOG
GOBP_MUSCLE_ATROPHY	NOL3
GOBP_MUSCLE_ATROPHY	RPS6KB1
GOBP_MUSCLE_ATROPHY	TRIM63
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	ABL1
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	AKT3
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	BCL6
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	CDK6
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	FBXO5
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	FOXM1
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	FZR1
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	HMGA2
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	MAP3K3
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	MARCHF5
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	MIF
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	MIR17
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	MIR543
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	MIR590
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	PLK2
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	PTEN
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	RBL1
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	SIRT1
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	SLC30A10
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	TBX2
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	TERC
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	TERF2
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	TERT
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	TWIST1
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	WNT1
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	YBX1
GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	ZKSCAN3
GOBP_POSITIVE_REGULATION_OF_CELL_AGING	ABI3
GOBP_POSITIVE_REGULATION_OF_CELL_AGING	ARG2
GOBP_POSITIVE_REGULATION_OF_CELL_AGING	B2M
GOBP_POSITIVE_REGULATION_OF_CELL_AGING	CGAS
GOBP_POSITIVE_REGULATION_OF_CELL_AGING	EEF1E1
GOBP_POSITIVE_REGULATION_OF_CELL_AGING	HLA-G
GOBP_POSITIVE_REGULATION_OF_CELL_AGING	KIR2DL4
GOBP_POSITIVE_REGULATION_OF_CELL_AGING	LMNA
GOBP_POSITIVE_REGULATION_OF_CELL_AGING	MIR10A
GOBP_POSITIVE_REGULATION_OF_CELL_AGING	MIR146A
GOBP_POSITIVE_REGULATION_OF_CELL_AGING	MIR188
GOBP_POSITIVE_REGULATION_OF_CELL_AGING	MIR20B
GOBP_POSITIVE_REGULATION_OF_CELL_AGING	MIR21
GOBP_POSITIVE_REGULATION_OF_CELL_AGING	MIR217
GOBP_POSITIVE_REGULATION_OF_CELL_AGING	MIR22
GOBP_POSITIVE_REGULATION_OF_CELL_AGING	MIR34A
GOBP_POSITIVE_REGULATION_OF_CELL_AGING	PAWR
GOBP_POSITIVE_REGULATION_OF_CELL_AGING	SIRT1
GOBP_POSITIVE_REGULATION_OF_CELL_AGING	TP53
GOBP_POSITIVE_REGULATION_OF_CELL_AGING	YPEL3
GOBP_REGULATION_OF_CELL_AGING	ABI3
GOBP_REGULATION_OF_CELL_AGING	ABL1
GOBP_REGULATION_OF_CELL_AGING	AKT3
GOBP_REGULATION_OF_CELL_AGING	ARG2
GOBP_REGULATION_OF_CELL_AGING	ARNTL
GOBP_REGULATION_OF_CELL_AGING	B2M
GOBP_REGULATION_OF_CELL_AGING	BCL6
GOBP_REGULATION_OF_CELL_AGING	BMPR1A
GOBP_REGULATION_OF_CELL_AGING	CDK6
GOBP_REGULATION_OF_CELL_AGING	CGAS
GOBP_REGULATION_OF_CELL_AGING	EEF1E1
GOBP_REGULATION_OF_CELL_AGING	FBXO5
GOBP_REGULATION_OF_CELL_AGING	FOXM1
GOBP_REGULATION_OF_CELL_AGING	FZR1
GOBP_REGULATION_OF_CELL_AGING	HLA-G
GOBP_REGULATION_OF_CELL_AGING	HMGA2
GOBP_REGULATION_OF_CELL_AGING	ING2
GOBP_REGULATION_OF_CELL_AGING	KIR2DL4
GOBP_REGULATION_OF_CELL_AGING	LMNA
GOBP_REGULATION_OF_CELL_AGING	MAP3K3
GOBP_REGULATION_OF_CELL_AGING	MARCHF5
GOBP_REGULATION_OF_CELL_AGING	MIF
GOBP_REGULATION_OF_CELL_AGING	MIR10A
GOBP_REGULATION_OF_CELL_AGING	MIR146A
GOBP_REGULATION_OF_CELL_AGING	MIR17
GOBP_REGULATION_OF_CELL_AGING	MIR188
GOBP_REGULATION_OF_CELL_AGING	MIR20B
GOBP_REGULATION_OF_CELL_AGING	MIR21
GOBP_REGULATION_OF_CELL_AGING	MIR217
GOBP_REGULATION_OF_CELL_AGING	MIR22
GOBP_REGULATION_OF_CELL_AGING	MIR34A
GOBP_REGULATION_OF_CELL_AGING	MIR543
GOBP_REGULATION_OF_CELL_AGING	MIR590
GOBP_REGULATION_OF_CELL_AGING	NEK4
GOBP_REGULATION_OF_CELL_AGING	NEK6
GOBP_REGULATION_OF_CELL_AGING	NUAK1
GOBP_REGULATION_OF_CELL_AGING	PAWR
GOBP_REGULATION_OF_CELL_AGING	PLK2
GOBP_REGULATION_OF_CELL_AGING	PNPT1
GOBP_REGULATION_OF_CELL_AGING	PTEN
GOBP_REGULATION_OF_CELL_AGING	RBL1
GOBP_REGULATION_OF_CELL_AGING	RSL1D1
GOBP_REGULATION_OF_CELL_AGING	SIRT1
GOBP_REGULATION_OF_CELL_AGING	SLC30A10
GOBP_REGULATION_OF_CELL_AGING	TBX2
GOBP_REGULATION_OF_CELL_AGING	TERC
GOBP_REGULATION_OF_CELL_AGING	TERF2
GOBP_REGULATION_OF_CELL_AGING	TERT
GOBP_REGULATION_OF_CELL_AGING	TP53
GOBP_REGULATION_OF_CELL_AGING	TWIST1
GOBP_REGULATION_OF_CELL_AGING	VASH1
GOBP_REGULATION_OF_CELL_AGING	WNT1
GOBP_REGULATION_OF_CELL_AGING	YBX1
