"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113"
"1",1,0,0,0,0.204892966360856,0.0317460317460317,0.00307692307692308,0,0.31306990881459,0.08,0.977198697068404,0.0280373831775701,0.356666666666667,0.216981132075472,0.015625,0,0,0.00323624595469256,0.201892744479495,0,0.159609120521173,0.0851735015772871,0.0160771704180064,0.116719242902208,0.0773993808049536,0,0,0.00309597523219814,0,0.0751633986928105,0.0781758957654723,0.131147540983607,0.00309597523219814,0.00903614457831325,0,0.0476190476190476,0.0584615384615385,0.0101351351351351,0.209580838323353,0.274447949526814,0.0572289156626506,0.0690789473684211,0.41025641025641,0,0.0123456790123457,0.0732484076433121,0.0911949685534591,0.0776699029126214,0.0365853658536585,0.75,0.0341614906832298,0.0379746835443038,0.0279503105590062,0.195718654434251,0,0.813725490196078,0.204968944099379,0.0224358974358974,0.050314465408805,0.058641975308642,0,0.155555555555556,0,0.12962962962963,0.0340136054421769,0.137820512820513,0.195845697329377,0.26813880126183,0,0.275229357798165,0.396969696969697,0.196141479099678,0.341935483870968,0.106583072100313,0.0990415335463259,0.0306748466257669,0,0.0228758169934641,0.0532915360501567,0.168224299065421,0.264331210191083,0.0377358490566038,0.668769716088328,0.296636085626911,0.907849829351536,0.884615384615385,0.140625,0.277777777777778,0.113207547169811,0.00626959247648903,0.0548780487804878,0.315112540192926,0.0641025641025641,0.595679012345679,0.0380952380952381,0.10062893081761,0.0351437699680511,0.00964630225080386,0.0369230769230769,0.0482315112540193,0.0737179487179487,0.45619335347432,0,0.111111111111111,0.179487179487179,0.00615384615384615,0.174050632911392,0,0.496794871794872,0,0.393292682926829,0.0060790273556231,0
"2",0,1,0.469255663430421,0.027027027027027,0,0.175895765472313,0.390322580645161,0.0433333333333333,0.00311526479750779,0,0,0.00657894736842105,0,0,0.442307692307692,0.0360655737704918,0.0251572327044025,0.861016949152542,0,0.277777777777778,0,0.00325732899022801,0.429530201342282,0.0655737704918033,0,0.0416666666666667,1,0.703225806451613,0.298412698412698,0.0592105263157895,0,0,0.98371335504886,0.0548387096774194,0.747634069400631,0,0.00638977635782748,0.189003436426117,0,0,0,0.0668896321070234,0,0.518987341772152,0.380191693290735,0,0.00647249190938511,0.00996677740863787,0,0,0.00636942675159236,0,0.392857142857143,0,0.0289389067524116,0,0,0.0365448504983389,0.0132890365448505,0.060702875399361,0.501618122977346,0,0.5,0,0,0,0,0,0.0294117647058824,0,0,0,0,0.205882352941176,0.0266666666666667,0.124223602484472,0.0433333333333333,0.443708609271523,0,0,0.00327868852459016,0.0645161290322581,0,0.0253968253968254,0,0,0,0,0,0.118811881188119,0.009375,0,0,0.00319488817891374,0,0,0,0.0304054054054054,0.00638977635782748,0.286184210526316,0.158415841584158,0,0.0377358490566038,0,0,0.0125391849529781,0,1,0,0.578274760383387,0,0.521875,0.967320261437909
"3",0,0.469255663430421,1,0.299674267100977,0,0.0457516339869281,0.408805031446541,0.309904153354633,0.00623052959501558,0.0823170731707317,0,0.0911949685534591,0,0,0.358895705521472,0.349358974358974,0.292168674698795,0.531847133757962,0,0.589665653495441,0,0.00317460317460317,0.319620253164557,0.159375,0,0.321656050955414,0.446254071661238,0.230061349693252,0.674050632911392,0.0480769230769231,0,0.0434782608695652,0.445141065830721,0.20125786163522,0.403076923076923,0,0.046875,0.773648648648649,0,0,0,0.199346405228758,0.110032362459547,1,0.121495327102804,0.0390879478827362,0.104430379746835,0.0670926517571885,0.0332326283987915,0,0.0441640378548896,0.00318471337579618,0.305295950155763,0,0.321766561514196,0,0,0.192926045016077,0.0625,0.0705521472392638,1,0,0.944444444444444,0,0,0,0,0,0.344262295081967,0,0,0,0.144694533762058,0.0250783699059561,0.142405063291139,0.333333333333333,0.336569579288026,0.32475884244373,0,0,0.0292207792207792,0.182965299684543,0,0.204892966360856,0,0,0,0,0,0.595541401273885,0.0689655172413793,0,0,0.136075949367089,0.00318471337579618,0.00314465408805031,0.0252365930599369,0.307936507936508,0.0579268292682927,0.0548387096774194,0.0126582278481013,0.166666666666667,0.308641975308642,0.00917431192660551,0,0.235294117647059,0,0.439252336448598,0,0.896875,0.103343465045593,0.388198757763975,0.532051282051282
"4",0,0.027027027027027,0.299674267100977,1,0,0.150819672131148,0.270700636942675,0.963455149501661,0.0128617363344051,0.220064724919094,0,0.318181818181818,0,0.0033112582781457,0.0318471337579618,1,0.95583596214511,0.0510204081632653,0.00314465408805031,0.602523659305994,0.00342465753424658,0.0423452768729642,0.0939597315436242,0.0163934426229508,0.0191082802547771,0.886363636363636,0.0197368421052632,0.0641025641025641,0.609677419354839,0.0486111111111111,0.0134680134680135,0.139931740614334,0.0232558139534884,0.59344262295082,0.226708074534162,0.0161290322580645,0.100977198697068,0.472222222222222,0.0031055900621118,0,0.022508038585209,0.0546075085324232,0.0439189189189189,0.247619047619048,0.0131147540983607,0.0466666666666667,0.0716612377850163,0.0101010101010101,0.0971786833855799,0,0.251633986928105,0.0406779661016949,0.0361842105263158,0.00326797385620915,1,0,0.00321543408360129,0.588039867109635,0.0099009900990099,0.0127388535031847,0.21,0,0.288590604026846,0.00327868852459016,0.0174825174825175,0,0,0,0.979865771812081,0,0,0.00336700336700337,0.0333333333333333,0,0.0781758957654723,0.116352201257862,0.914191419141914,0.0394736842105263,0.0204778156996587,0,0,0.0355987055016181,0,0.0416666666666667,0,0,0,0,0.00993377483443709,0.682847896440129,0.00967741935483871,0.00321543408360129,0.0163934426229508,0.0066006600660066,0.0673400673400673,0.0460526315789474,0.162420382165605,0.77,0.0532915360501567,0.00662251655629139,0.03,0.0252365930599369,0.921135646687697,0.0836012861736334,0,0.84472049689441,0.0033112582781457,0.0287539936102236,0,0.262458471760797,0.0416666666666667,0.0383386581469649,0.0295081967213115
"5",0.204892966360856,0,0,0,1,0.025,0,0,0.440233236151603,0.00597014925373134,0.256329113924051,0.027355623100304,0.539936102236422,0.639393939393939,0,0,0,0,0.687878787878788,0,0.60126582278481,0.156441717791411,0,0.040625,0.229607250755287,0,0,0,0,0.0123456790123457,0.256410256410256,0.0351437699680511,0,0.0848484848484849,0,0.261538461538462,0.0271084337349398,0,0.706051873198847,0.711246200607903,0.239644970414201,0,0,0,0,0.0161290322580645,0.00314465408805031,0.0378548895899054,0.0298507462686567,0.473015873015873,0.0393939393939394,0.180981595092025,0,0.662613981762918,0,0.247678018575851,0.704819277108434,0.00318471337579618,0.0769230769230769,0.0582822085889571,0,0.879746835443038,0,0.5,0.172077922077922,0.869009584664537,0.68695652173913,0.690402476780186,0,0.716867469879518,0.539589442815249,0.579617834394904,0,0.0872274143302181,0,0.0415430267062315,0,0,0.301204819277108,0.935384615384615,0.177215189873418,0.0778443113772455,0.31055900621118,0,0.286206896551724,0.262996941896024,0.839285714285714,0.694864048338369,0.183229813664596,0,0.0909090909090909,0.507788161993769,0.284375,0.0214067278287462,0.12258064516129,0.190332326283988,0.135384615384615,0,0.0993975903614458,0.0124610591900312,0.0443037974683544,0,0,0.0930930930930931,0.866242038216561,0,0.619195046439629,0,0.490683229813665,0,0,0,0
"6",0.0317460317460317,0.175895765472313,0.0457516339869281,0.150819672131148,0.025,1,0.162939297124601,0.154340836012862,0.156626506024096,0.0123076923076923,0.0728476821192053,0.0474683544303797,0.105263157894737,0.0161812297734628,0.154574132492114,0.158064516129032,0.156923076923077,0.146666666666667,0,0.148148148148148,0.00327868852459016,0.189274447949527,0.166112956810631,0.0294117647058824,0.059190031152648,0.159235668789809,0.158227848101266,0.46875,0.0958466453674121,0.118032786885246,0.0102739726027397,0.00983606557377049,0.205128205128205,0.166666666666667,0.190031152647975,0.0467289719626168,0.00928792569659443,0.0506756756756757,0.00606060606060606,0.0223642172523962,0.0031055900621118,0.0131578947368421,0.00647249190938511,0.043613707165109,0.517133956386293,0.0594059405940594,0.0126582278481013,0.0453074433656958,0.00611620795107034,0.0718954248366013,0.0444444444444444,0.12258064516129,0.207667731629393,0.00314465408805031,0.156739811912226,0.0986842105263158,0,0.12621359223301,0.0130718954248366,0.0666666666666667,0.0419354838709677,0.0065359477124183,0.0915032679738562,0,0.0171232876712329,0.00673400673400673,0,0.0378548895899054,0.143790849673203,0.0279503105590062,0.0823170731707317,0,0.00324675324675325,0.84887459807074,0.0160771704180064,0.0213414634146341,0.166134185303514,0.162866449511401,0.0256410256410256,0.00952380952380952,0.160130718954248,0.00940438871473354,0.154340836012862,0.00615384615384615,0.0501672240802676,0.0751633986928105,0.0125391849529781,0.0349206349206349,0.0546623794212219,0.0694006309148265,0.0158730158730159,0.00321543408360129,0.00649350649350649,0.0128617363344051,0.00647249190938511,0.0126182965299685,0.141955835962145,0.161812297734628,0.0282131661442006,0.623003194888179,1,0,0.194444444444444,0.0158227848101266,0.0133779264214047,0.188271604938272,0.00320512820512821,0.17737003058104,0.0906148867313916,0.0746753246753247,0.00609756097560976,0.207006369426752,0.155555555555556
"7",0.00307692307692308,0.390322580645161,0.408805031446541,0.270700636942675,0,0.162939297124601,1,0.246006389776358,0.0151057401812689,0.101796407185629,0.00323624595469256,0.0920245398773006,0,0,0.726993865030675,0.300319488817891,0.213855421686747,0.255591054313099,0,0.246951219512195,0,0.0124610591900312,0.904458598726115,0.210691823899371,0,0.262996941896024,0.428571428571429,0.325227963525836,0.295384615384615,0.237785016286645,0,0.059016393442623,0.32807570977918,0.15527950310559,0.540298507462687,0,0.0464396284829721,0.31023102310231,0,0,0.00602409638554217,0.189873417721519,0.132492113564669,0.40785498489426,0.510835913312694,0.100323624595469,0.0990712074303406,0.0254777070063694,0.0391566265060241,0.00324675324675325,0.0872274143302181,0.00317460317460317,0.686520376175549,0,0.322085889570552,0.00949367088607595,0,0.166666666666667,0.00323624595469256,0.0884146341463415,0.375796178343949,0,0.403846153846154,0,0.00334448160535117,0,0,0,0.309375,0,0,0,0.116719242902208,0.113149847094801,0.133333333333333,0.0892857142857143,0.267741935483871,0.717948717948718,0,0,0,0.0278637770897833,0.00952380952380952,0.169642857142857,0.00338983050847458,0.00643086816720257,0,0,0,0.321875,0.00917431192660551,0,0.00632911392405063,0.0698412698412698,0.0253968253968254,0.0124610591900312,0.0524691358024691,0.273311897106109,0.0184049079754601,0.370607028753994,0.0996784565916399,0.115384615384615,0.236526946107784,0.0241691842900302,0,0.244837758112094,0,0.375757575757576,0,0.371165644171779,0.108433734939759,0.703703703703704,0.452830188679245
"8",0,0.0433333333333333,0.309904153354633,0.963455149501661,0,0.154340836012862,0.246006389776358,1,0.00313479623824451,0.1375,0,0.288461538461538,0,0,0.0252365930599369,0.99,0.96551724137931,0.0792079207920792,0,0.623824451410658,0,0.0289389067524116,0.0427631578947368,0,0.0158227848101266,0.946708463949843,0.0261437908496732,0.0836012861736334,0.668730650154799,0.0163934426229508,0.00338983050847458,0.0897009966777409,0.0392156862745098,0.668810289389068,0.285276073619632,0.00647249190938511,0.060702875399361,0.473154362416107,0,0,0.00934579439252336,0.0308219178082192,0.0165562913907285,0.246875,0.00970873786407767,0.0101351351351351,0.0321543408360129,0.00986842105263158,0.0595611285266458,0,0.230283911671924,0.0294117647058824,0.00980392156862745,0,0.980582524271845,0,0,0.647457627118644,0.00977198697068404,0.0126984126984127,0.209003215434084,0,0.3,0.00316455696202532,0.0176056338028169,0,0,0,0.976973684210526,0,0,0,0.0197368421052632,0.0065359477124183,0.0514469453376206,0.136222910216718,0.973509933774834,0.00996677740863787,0.0162337662337662,0,0,0.0483870967741935,0,0.0339506172839506,0,0,0.00314465408805031,0,0.00324675324675325,0.62379421221865,0.00632911392405063,0,0.00638977635782748,0,0.0462046204620462,0.0287539936102236,0.141935483870968,0.755852842809365,0.077639751552795,0.00664451827242525,0.0422077922077922,0.00943396226415094,0.990566037735849,0.0441640378548896,0.00326797385620915,0.841614906832298,0,0.0487804878048781,0,0.284345047923323,0.0214067278287462,0.0249221183800623,0.0396039603960396
"9",0.31306990881459,0.00311526479750779,0.00623052959501558,0.0128617363344051,0.440233236151603,0.156626506024096,0.0151057401812689,0.00313479623824451,1,0.112759643916914,0.41692789968652,0.0686567164179104,1,0.577039274924471,0.0179640718562874,0.00309597523219814,0.00591715976331361,0.00623052959501558,0.418960244648318,0,0.39938080495356,0.366666666666667,0.0216049382716049,0.0584615384615385,0.188622754491018,0.00302114803625378,0.00305810397553517,0.00911854103343465,0.00611620795107034,0.0432098765432099,0.196774193548387,0.20952380952381,0.00308641975308642,0.0211480362537764,0.00294985250737463,0.186335403726708,0.0744047619047619,0.0262295081967213,0.461318051575931,0.686746987951807,0.256559766763848,0.00952380952380952,0.0911949685534591,0.0029940119760479,0.0388059701492537,0.0418006430868167,0.033434650455927,0.0123456790123457,0.0952380952380952,0.503105590062112,0.0823170731707317,0.244648318042813,0.0151515151515152,0.422155688622754,0.00617283950617284,0.489028213166144,0.428994082840237,0.0441640378548896,0.00619195046439629,0.0120845921450151,0.00623052959501558,0.29375,0.00636942675159236,0.297546012269939,0.127868852459016,0.323717948717949,0.398255813953488,0.699059561128527,0.00308641975308642,0.652818991097923,0.682492581602374,0.340764331210191,0.137614678899083,0.213855421686747,0.018348623853211,0.0087463556851312,0,0.0123076923076923,0.196923076923077,0.328173374613003,0.0371517027863777,0.00890207715133531,0.61144578313253,0.0707964601769911,0.361486486486487,0.384615384615385,0.27893175074184,0.710914454277286,0.180722891566265,0.0181818181818182,0.00911854103343465,0.30188679245283,0.195046439628483,0.0886850152905199,0.132911392405063,0.256797583081571,0.228915662650602,0.0217391304347826,0.00602409638554217,0.141975308641975,0.208588957055215,0.0828402366863905,0.00294117647058824,0.208211143695015,0.34384858044164,0.0321637426900585,0.396923076923077,0.00290697674418605,0.682389937106918,0.00604229607250755,0.146627565982405,0.0121580547112462,0.00307692307692308
"10",0.08,0,0.0823170731707317,0.220064724919094,0.00597014925373134,0.0123076923076923,0.101796407185629,0.1375,0.112759643916914,1,0.0253968253968254,0.306306306306306,0.0412698412698413,0.00311526479750779,0.0795107033639144,0.182965299684543,0.138235294117647,0.00630914826498423,0.0121951219512195,0.0630630630630631,0.0124610591900312,0.114457831325301,0.10062893081761,0.190031152647975,0.242424242424242,0.126543209876543,0,0.00301204819277108,0.123867069486405,0.339563862928349,0.149350649350649,0.993485342019544,0.00308641975308642,0.157407407407407,0.0147492625368732,0.180428134556575,0.425219941348974,0.211920529801325,0.00869565217391304,0.00308641975308642,0.186588921282799,0.335423197492163,0.374213836477987,0.0857988165680473,0.0365853658536585,0.427631578947368,0.573208722741433,0.238670694864048,0.453453453453453,0.00958466453674121,0.30030959752322,0.166163141993958,0.0640243902439024,0.0120481927710843,0.190184049079755,0.00952380952380952,0.0122699386503067,0.325,0.108626198083067,0.168711656441718,0.0815047021943574,0.00623052959501558,0.0714285714285714,0.0429447852760736,0.165016501650165,0.00641025641025641,0.00593471810089021,0.00625,0.150470219435737,0,0.00598802395209581,0.0157728706624606,0.426791277258567,0.0031055900621118,0.476635514018692,0.0835820895522388,0.111464968152866,0.0809968847352025,0.141538461538462,0.00606060606060606,0.0383386581469649,0.0818181818181818,0.0123839009287926,0.380664652567976,0.0268456375838926,0.0348101265822785,0.0151975683890578,0,0.198142414860681,0.280487804878049,0.157099697885196,0.01875,0.139240506329114,0.25077399380805,0.298412698412698,0.594427244582043,0.170731707317073,0.239130434782609,0.132530120481928,0.0157728706624606,0.0093167701863354,0.333333333333333,0.123123123123123,0.776119402985075,0.00952380952380952,0.145454545454545,0.0155763239875389,0,0.00308641975308642,0.0575757575757576,0.462235649546828,0.0305810397553517,0.00313479623824451
