CellCyle	HIPPO	MYC	NOTCH	NRF1	PI3K	TGF-Beta	RAS	TP53	WNT
TCGA-A1-A0SP-01	2.33227560746181	2.13131089968709	2.07857921761977	3.24744467584124	2.73623506733056	5.13235070611225	1.25729204832673	2.35371192082323	0.788560088150751	1.60003925893064
TCGA-AC-A2BK-01	2.21168297148914	2.2531958939834	2.81726843438019	2.81789151280262	2.78472133469257	4.55207439001465	1.33085053787392	2.49684023093413	1.40341390756854	1.38491626965923
TCGA-AO-A128-01	2.07887551681507	1.87849968218289	2.1422602308665	2.59814947822703	2.68343122293892	4.81964249363922	1.19704146277463	2.4186583968423	1.14386777253826	1.03326849217531
TCGA-AQ-A04J-01	2.19265714248095	2.02694277750971	2.07911508444347	3.11329491283521	2.64209649505247	4.89423939850577	1.36517369929725	2.53657612820874	1.26972263283627	1.46224867135902
TCGA-A7-A6VY-01	2.18537839786469	1.94933769345982	2.26212508126872	2.9699837940281	2.65712366226507	5.05104266850046	1.09349100007353	2.32283324658472	0.806676712297981	1.37502130422251
TCGA-LL-A73Y-01	1.82039179972534	2.38196162316465	2.11258769141996	3.38080029262957	2.67923831789598	4.7615413021283	1.33537498741114	2.75821121681939	0.958120881415097	1.91796849898528
TCGA-AO-A1KR-01	2.07046004835887	1.80325133431837	2.61653964644474	2.67114819252296	2.07637391040518	5.09225088828515	0.963001674512162	2.10741566291062	1.16217968685667	1.05127236789478
TCGA-C8-A3M7-01	1.70965257263349	1.9616870019015	2.36645890705275	3.38425421826916	2.6443948100657	4.99911004388863	1.41557096133876	2.53761931116808	1.1541570664017	1.28931174862909
TCGA-A2-A04U-01	2.24940625798145	1.79066415235131	2.69752058618185	3.06193877916381	2.50509276931705	4.65302883488991	1.04184911910165	2.10965724988868	0.820799749662707	1.56193507006391
TCGA-LL-A5YO-01	1.90238008256065	1.66660351079693	2.25058738200812	3.00996246335672	2.55747290175567	4.66995184034348	1.00045157942614	2.16677697785317	1.04658632553599	1.1599840270643
TCGA-AN-A0AR-01	1.72322498269621	1.97254547652003	2.33801496468623	3.03079405913764	2.38112167355177	4.47816243080862	0.908293139051341	2.13938706575483	0.866114879101535	1.33393380498744
TCGA-E2-A1LS-01	1.50951492883476	1.92330244993363	1.93440062845765	2.95025214446907	2.50087190539005	4.5223181388782	1.68791144910725	2.46626253435402	1.22282506421152	1.12768628430874
TCGA-A2-A0D0-01	2.05052856606204	2.02984507599237	2.58631788959207	2.93292264452014	2.44199454038658	5.18499688178627	1.27537641527587	2.33186724425843	0.980314450364899	1.4553932025983
TCGA-A2-A3XX-01	1.68571045785919	1.89510098367924	2.7561670977794	3.13045736141212	2.19631643619116	5.00488547995018	0.9224636879404	2.32748933695342	1.01075684377244	1.42204953678985
TCGA-AC-A2QH-01	1.75409588224012	2.61797315062989	2.18850092408892	2.46201378959659	2.14734884256323	4.82792284308651	1.74341872306988	2.08320432836348	1.67201930249049	1.46872000945672
TCGA-AN-A0AT-01	1.82530390173738	2.08975486353851	2.21820649341129	2.87139815042021	2.82648013241478	4.50543258498452	1.25669978014074	2.31077295908838	1.01345977102	1.39435092972353
TCGA-AO-A0JL-01	1.73624244749598	1.85732272020619	2.27118039809823	3.22519340202058	2.1248339597109	4.60688612110486	0.971512776906278	2.29708277196116	1.02591644147726	1.46663824795224
TCGA-A2-A3XT-01	1.92602090745851	1.8143374528	2.55571188090388	2.89431175574991	2.42448847007381	4.74689507655706	0.925791802281502	2.19271303089166	1.21279265037498	1.09575924683386
TCGA-EW-A1P4-01	2.32957978246128	2.26935258645617	2.35771121678389	3.19212722678106	2.79193645727346	4.78032834311585	1.27653736464451	2.52215480895829	1.02114542609906	1.08539839710417
TCGA-AR-A0TS-01	2.06301894244529	2.35434098372231	2.5655717584819	3.29534381779559	2.3747626562025	4.84184839307273	1.27024234537269	2.69688533224887	1.20388043374701	1.32204911625731
TCGA-S3-AA15-01	2.30464065420123	1.98810388809121	2.42226776875224	3.335022746649	2.45573616613199	4.82253914532346	1.07744945911498	2.53170490461685	1.07315680834221	1.40904159377479
TCGA-A2-A0D2-01	2.15898642451713	2.13568707049523	2.19509918768187	2.74924792308672	2.2355973309219	4.76321589860749	1.34321126071215	2.56198347950829	1.14218480245122	1.39333342181006
TCGA-D8-A13Z-01	2.14099234006995	2.06636683603782	2.4855496498427	3.28392383052284	2.45687833996968	5.09206993650792	1.28390627983716	2.26551570550104	1.09363240223292	1.33762568314082
TCGA-EW-A1PB-01	2.24863354815814	1.9879157220836	2.60185198983639	2.795087742243	2.53442898944804	4.79233517247378	1.04644986160189	2.21044238691874	0.97594593879829	1.06236383555834
TCGA-HN-A2NL-01	2.07889047204935	1.96567947501577	2.84054874052803	2.72292219690069	2.21051323264891	4.67880641315474	1.17896080944003	2.20782850390966	0.965764287164536	1.30189007516003
TCGA-A2-A0T2-01	1.89691595276894	1.89305753291007	2.40246725956577	2.94058012997138	2.41897658379169	4.83202957221511	1.24427319610762	2.23296700868913	0.872144374732669	1.32920901542666
TCGA-AR-A2LR-01	2.21361352269569	2.49305082646734	2.47127889240456	3.21166524195085	2.17315948143523	4.38722399580353	1.4453948792717	2.66762382885142	1.08471380481829	1.63672280085484
TCGA-C8-A1HJ-01	2.4251549005355	1.86248404585071	2.16855028071746	3.11571664640749	2.1286824518578	4.70828363568586	1.28625894009987	2.30324925305491	1.20325542160608	1.12261814612234
TCGA-BH-A1F6-01	2.17204565293487	2.16652306410045	2.66073213992673	2.96854401541402	2.48314467728598	4.90392108743605	1.21744878666575	2.51021333892289	1.21602715942528	1.34309634913994
TCGA-E2-A158-01	1.64819975426585	2.23370403345127	2.69851564261155	2.6739766313337	2.20420348118176	4.75749649574331	1.27001970533825	2.46396245465191	1.10666273226018	1.03654503546153
TCGA-BH-A0E0-01	2.02632963356847	1.87924667682207	2.49943433141792	2.85114831234691	2.44327773777341	4.90931884963125	0.99031047020723	2.1252171880487	1.04583089733673	1.22601399793418
TCGA-AN-A0XU-01	2.21106298170166	2.19148286156975	2.22469679889498	2.98223214067464	2.55284262166919	4.80508885036071	1.13979953390836	2.35342014102727	1.13079459758915	1.17655843137403
TCGA-A8-A07O-01	2.33289381745231	1.99650106781407	2.42671296580571	2.96007149419451	2.53142162180212	5.29644628470579	1.22561739290904	2.36878777091286	1.01952278329733	1.34987799352941
TCGA-D8-A147-01	2.16589758314632	2.33507016043557	2.43839905436303	2.84705953038702	2.79587388849542	4.84302170715391	1.28657868633729	2.53885620626517	1.26255435459376	1.30815713958996
TCGA-C8-A131-01	2.08379363536742	2.00207809235924	2.34871169477385	3.00330070016218	2.38599986654208	5.16651340026585	1.38141123143285	2.15920318699609	0.982691927396642	1.31151718984193
TCGA-D8-A27H-01	2.05909216971225	2.54526058994674	2.23678972038594	3.17069386602422	2.73329711327932	5.11693410463405	1.34921663013172	2.88515581305518	0.922391070504598	1.56861374397504
TCGA-B6-A402-01	1.77787520871455	2.03253855583373	2.92227748980084	3.20805022887861	2.4456385322289	4.62875842465842	1.00952341778999	2.40582709206377	1.09956344795776	1.27370881269836
TCGA-A8-A09X-01	1.85714333173829	2.01087636693254	2.2955440105578	3.03595542187546	2.46156026749979	5.07442328260114	1.26696403316941	2.35167235460219	1.12847759115301	1.04024120679171
TCGA-E2-A14X-01	1.91763038874361	2.14979567313037	2.45796961241535	3.18217561755292	2.58455430179983	4.72700436009774	1.25675509677949	2.5655765459498	1.07821824234347	1.25570174422343
TCGA-B6-A3ZX-01	2.20402089660531	1.86827929571907	2.59186486166812	3.06174545661491	2.42704152457164	4.84678142932054	1.16527351855472	2.55751650990332	1.21346639652712	1.56070610092743
TCGA-D8-A1JF-01	1.70066632860273	2.10237803867926	1.94843871456754	2.86142334782928	2.30532468617826	5.34515364201285	1.45171920363865	2.29613949326954	1.19410342165468	1.04227294231215
TCGA-AC-A6IW-01	2.22985316127076	1.93143191471424	2.77932958824798	2.84396083964378	2.38634624836771	4.82800010784532	0.980908587617948	2.30872461601596	1.16203834719315	1.1535445385867
TCGA-AO-A03U-01	1.7654193513267	2.09672254936176	2.65750756734393	3.08674897300194	2.63530562646381	5.04669359193978	1.3465299110291	2.7983596160028	1.17756183749436	1.53602464454019
TCGA-AO-A129-01	2.0550832001185	2.00999663299643	2.40020562609854	2.81271544416865	2.51089106550573	4.7915602452627	1.04525828059431	2.33830870267001	1.17941599378197	1.57203539691529
TCGA-D8-A143-01	1.96503528172079	2.04735992855951	2.32812324461873	3.16876144535934	2.31389227138486	5.26366534822681	1.08232094802327	2.15164626975593	0.853085144429804	1.40004971898322
TCGA-A7-A6VW-01	2.09698306088982	1.78916975378253	2.56633217060743	2.89209768363387	2.37759328005605	4.62911082034805	0.743418723069878	2.07372086931861	0.949991184213089	1.51206066867116
TCGA-GM-A2DF-01	2.09350367260073	1.92709293132779	2.58922482993612	3.00506468143989	2.13933770743331	4.50214455903178	0.977040826576481	2.4054037002423	0.928535353452075	1.36228942055469
TCGA-LL-A441-01	1.85212480221019	1.98990364043408	2.63499057242104	3.11506157144171	2.36854481004465	4.56857395516362	1.30343837222886	2.59166563652357	1.27793978719739	1.57313327282027
TCGA-AN-A0G0-01	1.7823757435341	2.35540810293481	2.23520542082078	2.92191059873416	2.59804237266047	5.31260024283477	1.19572939706777	2.45200610727044	1.19007375217629	1.3484371010889
TCGA-GM-A2DB-01	1.86274313153268	1.79677026335568	2.32973094537282	2.82461661603725	2.131686488315	5.09850183817777	0.951096710191763	1.88515581305518	0.673917730088105	0.936388740393238
TCGA-OL-A6VO-01	1.97173895092618	1.94490514768781	2.86939040545294	2.96393081545614	2.25262878873913	4.68260290359901	1.00022922735213	2.2823360875805	1.04412785918884	1.31624667221903
TCGA-BH-A0B9-01	2.22910206750393	1.87149905910902	2.67073268548032	2.89498141765473	2.77094998226344	4.7570239477652	1.0620063008945	2.21542041367176	1.19014384009479	1.36749201781591
TCGA-AR-A5QQ-01	1.96508661727753	1.92046342780804	2.37140542360385	3.22061379071666	2.29552007279655	4.37521757028118	1.0918872225392	2.21054687661335	0.761308372934087	1.40109861654717
TCGA-A8-A07C-01	2.04868942469135	2.2420114571704	2.19226491091353	2.97118432624635	2.88476151950559	4.90796277044639	1.33199395880068	2.54429641095155	1.21987747774749	1.38341590188925
TCGA-AN-A0AL-01	1.88638485219428	1.97200687653816	2.31979633609926	3.22593366202756	2.95666550420009	4.93639630941267	1.15637470793883	2.44759451571507	1.17564360748777	1.50328351055307
TCGA-A2-A0CM-01	2.34673075700819	2.05497302091865	2.48386359191855	3.0631314435292	2.57033021994161	4.93429766328341	1.19077283250023	2.39822331281079	1.21531368183846	1.33121478007449
TCGA-AR-A1AR-01	2.19016096560896	2.10081233586228	2.3869012003882	3.11705647187579	2.6934685818673	4.74688959266169	1.39241458238999	2.4411593207931	1.31651118965567	0.992027878243092
TCGA-BH-A0BL-01	2.180578617124	2.24569924097095	2.32374727241504	3.19307936756937	2.46373312683545	4.67124322938302	1.37010692515502	2.56984357697355	1.1108535763069	1.47155166872594
