BTLA	CD200	TNFRSF14	NRP1	LAIR1	TNFSF4	CD244	LAG3	ICOS	CD40LG	CTLA4	CD48	CD28	CD200R1	HAVCR2	ADORA2A	CD276	KIR3DL1	CD80	PDCD1	LGALS9	CD160	TNFSF14	IDO2	ICOSLG	TMIGD2	VTCN1	IDO1	PDCD1LG2	HHLA2	TNFSF18	BTNL2	CD70	TNFSF9	TNFRSF8	CD27	TNFRSF25	VSIR	TNFRSF4	CD40	TNFRSF18	TNFSF15	TIGIT	CD274	CD86	CD44	TNFRSF9
TCGA-E2-A14R-01	1.04084830049351	3.38840106432945	4.11922211002577	3.31630194238292	3.62986500705023	2.16278973507254	0.626286582362718	3.73922858857567	2.14460170578806	1.23619487610494	2.95788966016736	4.36769970956101	1.63451597843288	0.855286852884355	4.2800719588854	0.106524584101232	5.23872089848607	0.0269321844995246	1.43640602780657	2.11898267372606	5.11149748498509	0.199556570533609	0.41818487873997	0.132780081456068	0.345663001429505	0.783574783907997	6.47197344844555	7.46570022265221	3.09430312305184	0.102758923870753	0.848068778642176	0.0516923057426885	2.09958765872011	1.40073028690754	1.26543842931985	4.33215155313955	2.99967622569411	4.05147971107173	3.59427581076974	4.56145254155433	4.96422366369245	1.61204390743488	2.52299302479527	3.14318935056205	3.925566079435	7.55463248054093	1.94825497957564
TCGA-E2-A1LL-01	0.313140684173512	3.36715213443357	3.25480773610618	5.01063102198017	2.43810976461533	0.844547855389648	0.393615390693561	1.72975525863997	1.17226107903071	0.427881455510413	1.47273008156583	1.97412425491044	0.470156565457062	0.589662309069701	2.81375579080555	0.06038895071858	8.10013826180328	0.0882330597167061	0.835050294328505	0.782979415644463	3.48068859000772	0.0945130072911592	1.04901940466322	0	0.955524266982164	0.512054624265541	4.97023823467722	2.0278556773619	1.94186981602995	0.0352139653215551	0.777446020256592	0	1.11766697334192	6.410659648747	0.897706722303445	1.74489221220703	2.97491106054925	3.56502951740457	2.19946267356488	3.31281783557352	2.13802417648305	0.459304502468574	0.89015242702372	2.50298052055266	2.71950957371556	9.13891873094154	0.327457250467798
TCGA-A7-A4SE-01	1.05686480158509	4.67892547858934	3.92593406497435	6.21284463431815	3.89824988290178	2.70142719791234	2.06142216828351	2.62233027602977	1.90092905360871	1.41335406477954	2.31378394345367	2.8933032827067	1.25835519930473	0.9559996158506	3.81001828347259	0.174700391185568	7.00069767621359	0.155690387834923	1.25260648967672	1.45219206893034	5.26047732239775	0.816549996079869	1.47762892018003	0.196293627550832	2.40585154294496	0.597647507361578	8.04195243394165	3.03273951428535	2.78415699343789	0	0.809546196011355	0.102372501120978	0.644984981371224	1.68007439394226	1.02833953204972	2.84830801207729	3.27077802123828	4.60687757749753	3.31758532370616	4.00336589734534	3.03044163752412	2.76305575723886	1.47110186440837	2.15137550997312	3.45939494222172	6.08157898403828	1.39886618231406
TCGA-BH-A18V-01	1.11510081907093	4.97326592622305	4.58166896835479	6.41444604674138	4.56827637254055	2.35742126798971	0.681297203596996	3.4348805316579	2.59201346324602	1.17255591496643	3.07173660539233	4.37905633621216	2.0182689263106	0.913179491153316	5.07276007445861	0.541344574090602	7.29483113014056	0.176350127786516	1.93668900725891	1.95759920524756	5.25574452119444	0.440112735318372	2.15940949458369	0.383922916666052	0.374247689107572	0.665039384536197	8.2512558511896	5.88306813022264	3.77968186565155	0.0948041057133284	0.243698750181227	0.323908686022834	1.9160251221172	1.28840230535541	1.28297408437495	3.37724835321391	4.74557198860489	5.09977780176091	2.63799977981529	4.81255590325154	2.76533328939832	4.082465789941	2.97738247059789	2.96741294309961	4.98861919243339	7.69526240516726	2.37648197408179
TCGA-AO-A0J6-01	0.641282548672593	2.12851664846563	3.70791285949233	4.91662242721953	3.42157106337238	2.23346422801585	1.97195200790713	4.85273623713291	2.14036315504478	0.758249223221175	2.19866401365364	3.85444455538882	1.21174333060299	0.888794289579544	4.0889906001312	0.167841233578021	5.59233107128493	0.125668015306326	1.12264046732244	2.80279560189172	6.12006898819579	1.07541358606878	1.57895706659284	0.396120347593181	0.348657391243121	1.79056724505006	7.8027948828142	8.54221745463653	2.5156375979384	0.099382311233297	0.287855066667952	0.171021753258316	2.57740054732706	2.10659736731202	1.06169414693695	3.41551609983861	1.83401098873721	4.68417848542515	1.8895969194519	5.84846088825697	3.77079891996255	3.04287034552168	3.3898387785954	3.01257205382296	3.78073188571548	7.59712925903524	2.20199475797685
TCGA-C8-A12V-01	2.75069703585927	4.33478306165196	5.8711234903311	4.92465116773772	5.32263633599058	3.66537932829754	3.43795001490665	6.94672607588383	4.79134475988351	3.79308802580933	4.81331672182427	6.36025430465933	3.37081559034428	2.94192002212487	5.84123502012539	0.591395464810886	6.01236580157277	0.857306322157972	3.02332321849827	4.54473933091604	7.01174015752998	1.9651204828186	3.22253951865488	1.093386557203	0.969436450768143	2.20400035102817	7.91003371207619	8.06735357826441	5.49411748231717	0.181282628814885	1.42916831605986	0.168709541473275	2.76235272787694	3.72394409024558	2.10864090806782	6.39386264019294	5.02090477248005	5.98037761134026	4.47467804469119	6.07716487026954	4.29023206714438	3.41993656242658	4.68960337639212	4.84181894021739	5.96738763979905	8.34612205933511	3.66866539885934
TCGA-A7-A6VV-01	0.910589695709091	3.74754423946029	4.78027072263337	5.44881037480735	4.12533511559771	3.87810406957097	0.937538876359221	2.65077362859536	1.70778356198035	1.36710762738107	2.35656481043623	3.81666436161971	1.68097244086345	1.20576086538482	4.73435464255659	0.366252929781302	7.40270375777796	0.124016755530561	2.05243275426403	1.90512169909691	5.27483317088282	1.00851359685583	0.880441684491661	0.119168541981384	1.96996343038806	0.325024475117987	9.50396541672545	3.45864675853941	3.12311530332653	0.02514816536542	0.737253773188999	0.176751997205493	3.10043008151321	3.08227340489364	1.35199276192711	3.48250232897681	2.86460681715565	4.54609514551235	3.85691938975082	4.5905596371285	3.26488765869452	2.08194012127352	2.38687112149492	1.99869372747346	4.30884096432346	9.05341890640644	1.94897004287079
TCGA-E2-A1L7-01	2.19176519430853	3.84743009990505	4.81847166085226	5.1451236095157	4.26531266948927	2.99258551904005	1.04962748014642	3.73834081112339	2.65355287812869	2.72745444645677	3.36413986951411	4.6625292192326	2.54637007953977	1.73461578158801	4.40861508534592	0.276253204347043	6.3464990436843	0.620887908982142	1.46426201407616	3.54290170194093	5.41050093070884	0.856262659035423	1.24110163912816	0.217753047392205	0.752270877151716	1.22567863594909	3.75958824719643	4.74968537188743	3.38160239243154	0	1.13874481197136	0.0769698029848347	1.27369205375704	1.26374033333195	1.83229818625532	4.81546835687027	3.23232857424276	4.33865074942652	3.5315919246444	4.80878742999411	4.80793794799537	4.01648090325699	3.58359393467612	3.06742729032556	4.1932848669564	7.4452307375341	2.08846077056858
TCGA-EW-A1P8-01	0.740383183323922	2.5833306272705	3.91059884386136	5.21985505924529	4.63521031239594	3.15730978468052	0.499000408418564	2.97757075986872	2.04421462726669	1.02829490935954	2.28403874961227	4.17444285650652	1.89018305930127	1.2390910721621	4.99672225687829	0.135598415161763	7.09194174214636	0.0296589004523651	2.07970955317938	1.6681375253272	5.55912197146681	0.375520924024162	1.23060640883986	0.0746873005684645	1.2527537049977	0.247443139757405	9.35039442962133	2.05302115402091	2.98893726626358	0	0.999653807972081	0.0568768938839793	1.62326238416866	1.6448828474078	1.2663294193519	3.60621867271295	3.50278984667293	5.03436878691744	3.15758131909342	4.15535519981317	2.81399911014307	2.59354769799395	2.32824545133913	1.71579360362489	5.00011767871128	6.14270840164536	2.2013448487204
TCGA-EW-A1OW-01	0.55838820148117	5.32066227473091	3.27106021357728	5.4340927095945	3.40764339713228	3.17357624251073	0.384923556626596	2.40276931239836	1.79794706839315	0.823184017949698	1.97301692522599	3.25383403406324	1.35384629449666	0.533512292097727	4.07440696195051	0.2730475573589	7.4553933921916	0.386705623749232	1.33822409664123	2.30042375716068	4.7827929982485	0.590734938091253	1.00407661650295	0.0826710508294718	0.368327508888142	0.352654223260395	9.17666145284575	3.44081488031613	4.32102156157805	0.100657033530897	1.43125816537711	0	0.935400645464213	1.10726208843267	0.898991811868485	2.64769363994101	1.92116049334831	4.0372279721202	2.85677426954831	3.89705565484787	2.23224252961825	1.96400697726067	2.27619143444863	2.46168050068913	4.13269717540288	7.10644930675932	1.39414978996904
