logFC	AveExpr	t	P.Value	adj.P.Val	B
DUSP27	0.532026210354913	0.331957236892641	4.21191374695133	5.1397363394483e-05	0.984824880001689	0.0309713131043479
PHOSPHO2	-0.750404508062441	2.57805600799088	-3.83103908222024	0.000210921017263073	1	-0.782958627806694
HSPA6	1.13416102394787	3.31598746390863	3.62890539888258	0.000430296680004389	1	-1.19376272385649
ACTL8	2.05698816378727	2.32053646881745	3.48279371256358	0.000708729811214545	1	-1.48087811069212
CALB2	2.02545691243646	4.87722784952263	3.47324097025628	0.000731875375015187	1	-1.49935233358796
IL36A	0.102417587793367	0.0318187105635226	3.45539094742162	0.000777043500095221	1	-1.53377344829688
MS4A6E	0.205765256374932	0.126498257480315	3.44225519660973	0.000811943650370008	1	-1.55902079716774
ATG9B	0.602446696516453	1.49578890706288	3.44106514599085	0.000815177253666117	1	-1.56130462755521
DKK2	0.665411619464227	1.40562150677888	3.3956162854448	0.000948130092546984	1	-1.64808988536752
MTX2	-0.423602118242574	5.99090555135539	-3.38292429890669	0.000988745119775292	1	-1.67217289170107
HBD	0.173996032588978	0.117284385956314	3.35514773019735	0.00108339522314713	1	-1.72464472767028
CRYBA4	0.250370629362579	0.217202934012541	3.33888284658211	0.00114269464778142	1	-1.75522026289201
ZIM2	0.368121190638261	0.286778035841498	3.32239725913431	0.0012058911789394	1	-1.78609707570079
KIFC3	0.717542872522742	3.39679956820382	3.25171484743374	0.00151576166369814	1	-1.91717412061224
RNF222	0.652390025126959	0.634401807030719	3.21798663988065	0.00168850396815732	1	-1.97896596961491
P2RX1	0.705607122195674	1.1003055401129	3.18409000694995	0.00188046025588366	1	-2.04056890063455
FES	0.760131055426267	3.67678508086477	3.16557395408724	0.00199371045952196	1	-2.07400740346543
ADGRG4	0.0436654776598326	0.0247531630200219	3.15950107832209	0.00203221459239291	1	-2.08494173160204
ANPEP	1.3418691785866	5.17750406287693	3.13229423613509	0.00221335334595048	1	-2.13372845892536
MUC16	1.31395269864134	1.86168266687794	3.08169194978384	0.00259072440644414	1	-2.22359304263985
FAM92B	0.537765546700297	0.579524026851009	3.04298034927806	0.0029187611761621	1	-2.29156597902748
COMP	1.57136560653095	5.07621788750029	3.03871577670484	0.00295715730276982	1	-2.29901267288111
SMUG1	-0.364680478000146	4.0031660081467	-3.00742386707936	0.003253501262444	1	-2.353401148229
MEI1	0.621670770693649	1.57553357743691	2.97951787710522	0.00354066723353893	1	-2.40152750761807
RGMA	0.83995206816812	3.5715013788316	2.97691953605968	0.00356856164788707	1	-2.40599040100938
FCRLB	0.444265718203058	1.36424806979055	2.97562820034322	0.00358249997729754	1	-2.40820723600941
EFCAB11	-0.357030858123526	1.79138753490471	-2.97292981833219	0.00361178772086542	1	-2.4128370701334
ATP5MC2	-0.365925651387707	7.25386160222919	-2.96071332867473	0.00374716462916869	1	-2.43375593848885
AMPD1	0.494416325929604	0.658624764081361	2.93962569426449	0.00399189313923139	1	-2.46970311250447
CD300LB	0.49715725603647	1.06681940140057	2.91683375422468	0.00427287552583125	1	-2.50832362717691
SARNP	-0.24914888893354	1.47201569815844	-2.91584097959196	0.004285518071197	1	-2.51000037109499
ST20-MTHFS	0.303227528804589	0.541708379254064	2.91446406128359	0.00430310941915725	1	-2.51232515278405
SLC22A3	0.73558722921382	1.40221821088041	2.91357257615522	0.00431453429002407	1	-2.51382986010436
FCRL5	0.801122622408838	1.23938520837028	2.90149235812967	0.00447212113225065	1	-2.53418307141589
UTS2R	0.198670685821768	0.232659224561412	2.90012141072809	0.00449033524165801	1	-2.53648858684643
IL5RA	0.217105120497061	0.147314405264863	2.89888150843962	0.00450686694529239	1	-2.53857296712247
ASB3	-0.243739674670494	1.37427236038379	-2.8724419233647	0.00487295822250317	1	-2.58284858180277
FCN1	0.792862897149498	1.90001820749829	2.87187609726658	0.0048810826891098	1	-2.58379252225518
SFTPA1	0.168417757887057	0.0624755197973377	2.86259904140482	0.00501607114905589	1	-2.59924748087129
PRSS33	1.50213034991217	1.83466792978832	2.8581173149542	0.00508250168521345	1	-2.60669920039658
PCBP2	-0.327673806329539	6.76036214400949	-2.85790332585925	0.00508569361341283	1	-2.6070547606576
PTTG2	0.218522855324961	0.265626829805574	2.85097718058619	0.00519000298764262	1	-2.61855143161274
SCRG1	1.41104494447894	2.12393430720097	2.84871026182666	0.00522456653285288	1	-2.62230935158044
IGF1	0.452206599123176	0.755104660421659	2.84617194734535	0.00526351804152799	1	-2.62651428442041
CLDN23	0.898060223257485	4.01130435300513	2.84541935482866	0.00527511788221324	1	-2.62776043145655
STOX1	-0.764333258182569	2.20123613289772	-2.83828671412668	0.00538622203766205	1	-2.63955737767497
NDRG3	-0.417554164133588	5.79806377830196	-2.83102380600714	0.00550155187024537	1	-2.65154498673148
GOT1	-0.473853827292382	5.99415281166874	-2.82773615293788	0.00555449640279781	1	-2.65696310396731
CR1	0.406504424516924	0.69160532648336	2.82055818815085	0.00567171349802527	1	-2.66877467363119
ERVV-2	0.563904418599509	0.543753024999545	2.8031575921969	0.00596531069548599	1	-2.69730603529745
CAPN13	-1.12922513596174	1.89856275722752	-2.80272267109394	0.00597282369233164	1	-2.69801731451854
NOS3	0.590616171215148	2.78822985912124	2.7967989989884	0.00607601536473693	1	-2.70769601050802
PSG5	0.164142143496813	0.0840628634505344	2.7856239805702	0.00627512902522363	1	-2.72590915811177
PRDM1	0.5925859382818	3.50082387203578	2.78538512386657	0.00627944915267121	1	-2.72629779568202
BST1	0.514029245718356	2.68893472180024	2.78515599469444	0.00628359589067419	1	-2.72667058012143
MIXL1	0.50760245788553	0.969043661248565	2.78358790807226	0.00631204194551441	1	-2.7292211213979
ADGRV1	-0.429475128874457	0.5237080887899	-2.77899684470198	0.00639600333931485	1	-2.73668184218903
HIBCH	-0.448221851669073	3.56531605430937	-2.77621552644567	0.00644736218951726	1	-2.74119670792136
HDAC8	-0.327758467375412	3.69706123659865	-2.76936927134406	0.00657538844669637	1	-2.75229427269732
PGPEP1L	0.627122408359637	0.742751393975387	2.76680835156029	0.00662387052853248	1	-2.75643964796261
PECAM1	0.640144004871946	5.66755807651128	2.75766679008533	0.00679960239333483	1	-2.77121137637223
HMOX1	0.675244022679365	5.89254129042274	2.75725186801815	0.00680767842584343	1	-2.77188088752892
MMP19	0.546361538437874	3.01547948464997	2.74261348350093	0.00709825026393012	1	-2.79544792119824
ABCD1	0.690123928637009	4.57699382684771	2.73907299716896	0.00717020287019244	1	-2.80113235622203
MESP2	0.930835220496325	2.19549049580828	2.73557222966296	0.00724199999425625	1	-2.80674705124826
FANCD2OS	0.356682533712816	0.545158275778961	2.71869758380753	0.00759733812205656	1	-2.83372799749905
LCN8	0.150884775902604	0.0823215837072752	2.71703292386412	0.00763323648953675	1	-2.83638213220793
MED31	-0.290573874789525	3.01517221508423	-2.71575127832041	0.00766098006547826	1	-2.83842466993365
FSD2	0.328855691041699	0.120636655607443	2.71314880299368	0.00771759743316247	1	-2.84256973267511
PRDX3	-0.521965807672384	6.74340986901273	-2.70886543883753	0.00781161075625935	1	-2.84938482990317
DERL3	0.965784851175419	3.91585024139081	2.70457722737259	0.00790677085606204	1	-2.85619868236475
AOC3	0.780217030533561	3.62747200879076	2.70318855439763	0.00793781182687279	1	-2.85840332392248
MRPL30	-0.401214867734804	5.26894345736742	-2.70286883720833	0.0079449741020039	1	-2.85891077007953
R3HDM2	-0.374644799244241	4.33547364846142	-2.70252826754279	0.00795260996340621	1	-2.85945125783567
KIAA1958	-0.508350151948366	1.94386999069498	-2.69098990804235	0.00821527769596253	1	-2.87772928992385
C5AR1	0.654317747692401	3.88059364868594	2.68189319553656	0.00842788153094083	1	-2.89209358116706
COPZ1	-0.283005974726029	6.95821478174749	-2.67702894904177	0.00854360112785635	1	-2.89975790219585
IGSF23	0.720745567717628	1.00321583236757	2.67218706576199	0.00866021655566312	1	-2.90737545967896
METAP1D	-0.411024351827942	2.37995540143266	-2.67031829219469	0.00870560972773081	1	-2.91031245426218
MZB1	1.43111445564191	3.97387395110777	2.66919109295317	0.00873309387460326	1	-2.91208314930553
IGLL5	1.62411774239964	5.1280931797663	2.66079048830444	0.00894041067028018	1	-2.92525982054947
PRSS27	0.757956459538102	2.17061828756429	2.64922758592057	0.00923305492830557	1	-2.94333985963911
ITIH5	0.716461216780608	1.81280172382279	2.64549294600517	0.0093294091493734	1	-2.94916535014195
TMEM255B	0.407832856690987	1.64167492567468	2.64445759033239	0.00935628195267544	1	-2.95077913427551
COA1	-0.310910060555091	3.46694717949451	-2.6407716627503	0.00945251971042415	1	-2.95652000414869
MUC15	1.31841940200274	2.88506654419987	2.63101642447052	0.0097115566110664	1	-2.97168147695954
MAPK12	0.59838459586794	2.0389325018075	2.62945300925891	0.00975366201210368	1	-2.97410693950185
KRT23	1.5351671821159	6.65556394484512	2.62084533715559	0.00998844770572591	1	-2.98743908223289
XCR1	0.443678503507629	0.848226536351213	2.61262713289095	0.0102173581353483	1	-3.00013369018354
SIGLECL1	0.0371524327044006	0.0142486263631677	2.61126573961759	0.0102557321514914	1	-3.00223338679729
CPNE5	0.690530442119443	2.59929775101808	2.60802406972811	0.0103476299623357	1	-3.00722935236315
MFSD9	-0.440979338577255	3.36263028600331	-2.59872616612274	0.0106153494462556	1	-3.02152999881279
CPM	0.757596645707038	3.845560993933	2.59544525174486	0.0107112984679048	1	-3.02656593291149
SERPINE1	0.919168101021912	5.41127104180629	2.59096282874347	0.0108436481780746	1	-3.03343740777541
FAM117B	-0.577198523026416	3.75091921632871	-2.59079865316869	0.0108485235326933	1	-3.03368889571492
NINL	-0.687942489246447	3.45732133258362	-2.58750382337104	0.0109467850692829	1	-3.03873314763091
GIPC3	0.546183543090275	2.2451585442846	2.58400762498748	0.0110519278206965	1	-3.04407975815341
RAB38	-0.839069877279129	3.49955807358979	-2.58310156362538	0.0110793241482342	1	-3.04546436873993
SLC15A1	1.16553760631217	1.91979875908738	2.57933759149056	0.0111937900389594	1	-3.05121194265646
SMIM7	-0.278851238685487	4.66903854888845	-2.57427426188489	0.0113494493431346	1	-3.0589324522975
C19orf38	0.504277300355959	2.33771545992449	2.57339768560036	0.0113765943744995	1	-3.060267743105
CCL11	0.774010698242336	2.08193004844769	2.56884598033507	0.011518488799487	1	-3.06719517891097
LYVE1	0.690364439725226	1.74479468996875	2.56664813492952	0.011587572392085	1	-3.0705364571926
MARCO	1.25974350616129	3.77211042309239	2.55913337617445	0.0118266029686327	1	-3.08194247674692
CYP11A1	0.527017562466845	0.940833834578228	2.55712001259219	0.0118913925635175	1	-3.08499357688942
GJA5	0.771614682797879	4.01465019923764	2.55332838110554	0.0120142729099201	1	-3.09073397830137
CXorf49B	0.206999615763086	0.0589067176001335	2.54378415608323	0.0123286495376904	1	-3.1051516058217
MESP1	0.830506101998128	2.74527103929503	2.54300679658468	0.012354577331555	1	-3.10632387555233
SDHAF3	-0.581325926728457	4.12571117134597	-2.54248094136342	0.0123721442779268	1	-3.1071167004786
PNOC	0.656074044709653	1.19224451411751	2.53859930669473	0.0125025109385572	1	-3.11296467917916
HBB	1.03533917361087	2.95760702657206	2.53514759055559	0.0126194726063281	1	-3.11815857230439
KYAT1	-0.392630350360462	2.23288081246694	-2.5318130278472	0.0127333957680978	1	-3.12317047339569
PRG4	0.974220988807947	1.53509472479839	2.52783165164325	0.012870624476015	1	-3.1291471933406
RALGPS1	-0.463835891072985	1.9761750861996	-2.52771797495543	0.0128745620433074	1	-3.12931772374347
ABITRAM	-0.445332749394416	4.52448521333796	-2.52682682184935	0.0129054675148893	1	-3.13065434769827
YAF2	-0.327289309799435	2.33741936479736	-2.52546862167473	0.0129526982776758	1	-3.13269071498946
PLXNA2	0.69421470688598	3.01066667050288	2.52475048520428	0.0129777337072118	1	-3.13376704959752
