logFC	AveExpr	t	P.Value	adj.P.Val	B
TMEM182	-0.42272044446071	2.3514632966738	-2.52304102624121	0.0130375028945969	1	-3.1363281179325
CEMIP	0.925446884469186	2.98538615378535	2.51808568267781	0.0132121572210728	1	-3.14374373711724
STOML1	0.395494884897256	2.38440803149899	2.51272763058865	0.0134033614798928	1	-3.15174802071488
PMS1	-0.388684457850021	3.53570565626598	-2.51078866272617	0.0134731626805029	1	-3.15464102144492
PLEKHG1	0.629810715702309	4.09534245866707	2.50709183858706	0.0136071477673827	1	-3.16015151837493
ERVV-1	0.363320842801654	0.376069141290789	2.50570690562688	0.0136576486408352	1	-3.16221411901828
BNIP1	-0.324052783896783	3.78060793716116	-2.50566502376422	0.0136591784517313	1	-3.16227647912394
SEMA4A	0.553736689448689	4.49110709623411	2.50478415333852	0.0136913893986297	1	-3.16358784718567
TSPAN8	-1.03496031083547	1.41804997496324	-2.50415468791156	0.0137144488085825	1	-3.1645247027922
TINCR	1.21529116864547	3.5791625387414	2.50334802284051	0.0137440504439073	1	-3.16572499693406
OR4A47	0.0922666984214393	0.0211426566598892	2.50139690302394	0.0138158859077425	1	-3.16862684083089
PSMD5	-0.454035081825223	5.17244131697095	-2.49987991279419	0.0138719697477677	1	-3.17088168081392
KCNJ11	-0.699064506727463	1.79192549309622	-2.49773165023742	0.013951740514195	1	-3.1740728384631
TRIM5	-0.539776232890097	3.80702581962037	-2.49614283652252	0.0140110011654279	1	-3.17643144903007
SHLD1	-0.397466070286766	2.94779426728087	-2.4937060503147	0.0141023275988039	1	-3.18004639072187
NPR1	0.600139797955866	2.43249565606111	2.49305570953624	0.0141267910508413	1	-3.18101065272287
STARD5	0.26726521560614	1.00804661210103	2.49109414757026	0.0142008078912845	1	-3.18391776305288
TNFRSF17	1.00367257690305	2.24892652614265	2.49009276546914	0.0142387272002358	1	-3.18540109522045
PLIN4	1.23402681165549	2.61962068732371	2.4874274302583	0.014340096890855	1	-3.18934672939008
MPL	0.254427922598378	0.608405527526355	2.48513913176828	0.0144276410398694	1	-3.19273133134046
ACVRL1	0.491461043190665	3.80253912132433	2.48321385978709	0.0145016664349965	1	-3.19557691832136
ZBTB26	-0.458935999828065	2.95008465819163	-2.48277270524305	0.0145186762471618	1	-3.196228686847
RASD2	1.03821778986532	4.91287097966153	2.48090331684654	0.0145909531754658	1	-3.19898944962153
FAM163A	0.186551922994616	0.183876395623315	2.47988720782422	0.0146303741206308	1	-3.20048931943646
FGF4	0.410508183808918	0.0868270060720123	2.47830830789097	0.0146918178986023	1	-3.20281887568662
VHLL	0.184761332877579	0.0743258887985824	2.47648535993126	0.0147630455592699	1	-3.20550692651755
TEX9	-0.4276616093306	1.52358233480645	-2.47402484827055	0.0148596736428916	1	-3.20913241665037
COA5	-0.308879217141192	4.85835047869367	-2.47001214611808	0.0150184705818779	1	-3.2150383841392
TBC1D3L	-0.290292442933868	0.48989839266323	-2.46889543102744	0.0150629316002518	1	-3.21668052308881
ASAH2B	-0.34986474710243	1.87211467791383	-2.46889173541364	0.0150630789326679	1	-3.21668595646254
PIM2	0.779190940049396	5.36391889022118	2.46829360352684	0.0150869415144763	1	-3.2175652513384
CRISPLD2	0.633574426253165	4.60686671927581	2.46589648353551	0.0151829139799943	1	-3.22108734775133
ADIPOQ	1.27306673708136	1.96179657824058	2.46273276615018	0.0153104122409316	1	-3.2257313120266
COX7A1	0.624264085257479	3.3526013342338	2.46120210540148	0.0153724402726621	1	-3.22797630439992
FLT4	0.481122063502936	2.2851228079224	2.45957900142857	0.0154384592403176	1	-3.23035557224595
ZFP57	0.944827733309436	1.72137696908244	2.45700864319707	0.0155435247347857	1	-3.23412063861709
PDCL	-0.379573096488011	4.6501273258837	-2.45150076938989	0.0157708132350101	1	-3.24217719258281
LTBP2	0.723897936981904	5.19939355518664	2.4480849495912	0.0159132547300244	1	-3.2471658184494
NUP35	-0.360524620646243	3.69491607926062	-2.44758007404221	0.015934405273571	1	-3.24790265528845
NFS1	-0.325486518891454	3.78635338318823	-2.44681293731173	0.0159665905655051	1	-3.24902199701695
C9orf57	0.0292096157659503	0.0106619272733542	2.44119970298782	0.0162038621631105	1	-3.25720317100812
VWF	0.68938541712035	5.08928417882736	2.44032415842181	0.0162411532318194	1	-3.25847780116167
LSM8	-0.292939855201281	4.08149014387442	-2.43882085283208	0.0163053601070754	1	-3.26066541640474
SIX3	1.28922777338625	2.53601477308284	2.43663201187022	0.0163992506520725	1	-3.26384854922394
UNC45B	0.0816990728245238	0.123029110875032	2.43361300568233	0.0165295409278879	1	-3.26823491392001
JMJD4	0.503867483759668	4.61153663631285	2.43332653959715	0.0165419515849669	1	-3.26865088190088
TNNC1	0.690705374665963	1.15435437433332	2.43329763170704	0.0165432044308292	1	-3.26869285575346
CD79A	1.32669878311203	4.1844100164363	2.43198906054541	0.0166000054167425	1	-3.27059243278881
TSGA10	-0.317954116025446	1.48572212129983	-2.42958344527564	0.016704878630883	1	-3.27408222739437
CD300E	0.697750216186015	2.03997615371942	2.42477629474252	0.0169162148042204	1	-3.28104697598285
CHST4	0.774728017131594	1.40874203955142	2.42442527023533	0.0169317396144004	1	-3.28155508504217
PRKAA2	-0.630068497430604	1.75912579814233	-2.42271634479373	0.0170075016590167	1	-3.28402785328271
POU2F2	0.512552606181124	2.30931660782678	2.41761193454195	0.0172355943201328	1	-3.29140483425923
NDUFA8	-0.3397525521568	7.31141703548209	-2.41698562441266	0.0172637677115656	1	-3.29230906318139
TARBP2	-0.356768028162708	3.97441011313302	-2.41655708076967	0.0172830685259463	1	-3.29292765216861
SULT1E1	-0.647387256630591	0.64853358715908	-2.41552350232082	0.0173296979227101	1	-3.29441919972932
CCDC80	0.764782221964021	4.85528354454492	2.4119412972589	0.0174921738338987	1	-3.29958438137044
RAB13	0.39585250135316	7.04803032972277	2.41095916503316	0.0175369555699593	1	-3.30099936102586
HES1	-0.489921648790686	6.49082533364245	-2.40966575694755	0.017596085753709	1	-3.30286204290435
MMP3	1.22233321297946	4.02960662359571	2.40759554967327	0.01769109717332	1	-3.30584162214921
KCNN3	0.365453285769683	1.1564949411416	2.40670584709771	0.0177320695505466	1	-3.30712146075561
CD93	0.584393715303963	5.06801398135118	2.40592842653176	0.0177679401101736	1	-3.30823944667452
CCDC169	-0.286846980755599	0.565959337812573	-2.40490955207886	0.0178150490284056	1	-3.30970418750493
CASP6	-0.488313248618227	5.30782528477185	-2.40387488224705	0.01786300173283	1	-3.31119108677396
SLF1	-0.351475556515318	2.18734462947069	-2.40183988198281	0.0179576501270297	1	-3.31411392220376
PEA15	0.335178147175405	8.37737837197369	2.40037618615451	0.0180260020022508	1	-3.31621487888854
RARRES2	0.773011933143858	5.7204665127938	2.3985394901736	0.01811209892985	1	-3.31884966386156
EBF3	0.570372807969674	1.48304424591494	2.39828042264045	0.0181242722981204	1	-3.31922116206365
MCIDAS	-0.420205555043454	0.721563401425575	-2.39488909881307	0.0182842987468066	1	-3.32408105592644
ORC2	-0.379375075060886	4.02456733793097	-2.39403245214019	0.0183249191456574	1	-3.32530772064024
APLNR	0.681072459682215	4.61265998660127	2.39200756932297	0.0184212532928461	1	-3.32820571582758
TBC1D3	-0.168466354509566	0.29673444717272	-2.3895692120254	0.0185378545127923	1	-3.33169265304629
OSGEPL1	-0.338829358593275	3.00635411268065	-2.38570454969384	0.018724002063509	1	-3.33721294375725
MRGPRF	0.564244441990173	2.24476097098015	2.38241011324981	0.018883990183093	1	-3.34191260664241
TUNAR	0.927617371041375	0.812519679439485	2.37371658984366	0.0193120060653788	1	-3.35428726037106
CD5L	0.268966466519199	0.129920463656262	2.37144816707882	0.0194250932979435	1	-3.35750974971204
S100A1	1.52648762655325	6.03698612901404	2.37103601104389	0.0194457032610417	1	-3.35809496554276
ISLR	0.796416767990491	6.79198238607431	2.36644467413365	0.019676606635058	1	-3.36460817979918
LMF1	0.651693301078692	2.7156410836445	2.36561062909795	0.0197188111480119	1	-3.36579016861127
HIF1AN	-0.329560680530576	3.66574252111552	-2.36220385595202	0.0198920344322865	1	-3.37061440587948
OR2B2	0.0790675145318052	0.0500756175228142	2.36177128368279	0.0199141253657585	1	-3.37122652708412
ANGPTL2	0.630700929116118	5.29272091366902	2.36126521107344	0.0199399974177636	1	-3.37194253289768
KLHL38	0.844479529598941	1.95341230312818	2.36008258325961	0.0200005731047372	1	-3.37361522792086
FCAR	0.261296152364603	0.520094892565021	2.35949889840573	0.0200305301299444	1	-3.37444051641247
CCR1	0.67689542316978	4.41883482636236	2.35912627434351	0.02004967542638	1	-3.37496728725057
SMIM10L1	-0.445014476356514	4.65989865701187	-2.35750015557313	0.0201334144124182	1	-3.37726525038494
TNFRSF10D	0.752555301794869	2.33117608757163	2.35735009886398	0.0201411573329001	1	-3.37747723479878
ZCRB1	-0.330118045629697	5.97410487563428	-2.35689394453644	0.0201647110511109	1	-3.37812156981597
ZNF66	-0.388053584958631	1.53398011672885	-2.35079326372266	0.0204820715201897	1	-3.38672857886021
TNR	0.266634255880064	0.24939077807064	2.35040409573	0.0205024652120822	1	-3.38727696898195
GVQW2	-0.246310393187387	0.802842626832937	-2.34724002638623	0.0206689401031495	1	-3.39173263446494
JAG2	0.527484143659988	4.29392966790804	2.34568294651003	0.0207513022105737	1	-3.39392340639173
CXorf49	0.0800947048343538	0.0395129058561384	2.34407656055244	0.0208365761011123	1	-3.3961822234642
RASGRF1	0.685571038967985	1.53062312110322	2.33933118236911	0.0210902916265783	1	-3.4028470534073
HCN1	0.224291188740245	0.0995492289789124	2.33811590631965	0.0211557044947605	1	-3.40455200118286
JCAD	0.527590577110812	3.51131990058063	2.33726954114215	0.0212013662870102	1	-3.40573893632987
STX19	-0.870905258558564	2.08925909141383	-2.33634396748484	0.0212514009885285	1	-3.40703652376928
VPS33B	0.310842004545026	3.77784554525451	2.3333870490801	0.0214119452741831	1	-3.41117890617681
KLHL34	0.627050354008626	0.896518842947054	2.33281375851079	0.0214431953528014	1	-3.4119815061441
SRGN	0.661066385462422	7.51033440943529	2.33020201832032	0.0215860712217441	1	-3.41563573349029
PRKRA	-0.319255025725549	5.44449803369437	-2.33010141514804	0.0215915915013726	1	-3.41577642139262
TMEM237	-0.451409530224271	3.88302497055249	-2.33006997896819	0.0215933167172876	1	-3.41582038204253
ACADL	-0.596935546292496	0.812175492130333	-2.32646786523745	0.0217918076202944	1	-3.42085418324428
TMEM174	0.0248306753033161	0.0105542587566229	2.32521697614767	0.0218611120885915	1	-3.42260065705254
ETS1	0.62076259069508	5.88084364255209	2.32238817274829	0.022018556763079	1	-3.42654716737887
NXPE4	0.102594923194648	0.125442900038119	2.32157565275665	0.0220639641677708	1	-3.42767995162015
PDPN	0.682299579718481	4.02782076922385	2.32066623806657	0.0221148843806865	1	-3.42894741200636
CPOX	-0.375153476673117	4.08228710695786	-2.32048235990331	0.0221251927208921	1	-3.42920363211469
EXTL1	1.28080249555081	2.26643677916108	2.31724740020021	0.0223072408072181	1	-3.4337083982783
RPAP3	-0.35235357516116	4.3219979848175	-2.31719938782312	0.0223099526257551	1	-3.43377521540559
VSIR	0.599064141200967	4.38919410723737	2.31701235648693	0.0223205192353117	1	-3.43403548876286
MBD6	-0.325097195109041	4.94087889871491	-2.31700971815933	0.0223206683230342	1	-3.43403916013594
PDE2A	0.434367059206459	1.54441368598224	2.3167351820835	0.0223361867197753	1	-3.43442117170311
PLEKHH1	-0.490866763300596	2.06255205311065	-2.31406210770834	0.0224877822373842	1	-3.43813863365406
CDC42EP1	0.640553490504498	7.21356216113568	2.30914407025675	0.022769063343035	1	-3.44496837424831
ADH1B	1.17484568462028	2.04604830256166	2.30851604254089	0.0228052047617315	1	-3.44583960893717
BCAP31	0.318251589002283	8.39693829057376	2.30713290324737	0.022884979121849	1	-3.44775764475885
LIPT1	-0.314339232931867	3.02095080972934	-2.30604085156682	0.0229481380782224	1	-3.44927131095294
C11orf74	-0.456269233509582	4.30496844570252	-2.30590405447095	0.0229560605610472	1	-3.44946087786254
UQCC1	-0.332114497231581	3.91043119060674	-2.30539641558782	0.0229854810662544	1	-3.45016425364388
LIX1L	0.423375448362452	4.70723121025735	2.30531926539481	0.0229899552544097	1	-3.45027113976944
LAX1	0.762244493082063	2.01583987611572	2.30402888084027	0.0230649025273841	1	-3.45205841194923
ZFAND4	-0.375594763811168	2.22515551766181	-2.30392333650553	0.0230710421873845	1	-3.4522045594206
RBM22	-0.322439767387964	5.36991476715862	-2.30244605927749	0.0231571285289613	1	-3.45424953320539
GRM6	0.196336429913951	0.396746330219389	2.30167018444504	0.02320245470541	1	-3.45532310563736
PCBD2	-0.283111359026667	2.08501009779365	-2.29993193902662	0.0233042854946798	1	-3.45772715307216
F10	0.473927526015823	1.35872094700335	2.29781969272786	0.0234285552165028	1	-3.46064631405245
PXDC1	0.570755504729011	5.77219495873595	2.29524898037932	0.0235805839546176	1	-3.46419591239509
TMEM88B	0.280779155839535	0.280314564265593	2.29507727002962	0.0235907695312993	1	-3.46443288323051
VAV3	-0.831085467387948	3.95184939402811	-2.29497506241012	0.0235968341565384	1	-3.46457392864995
WARS2	-0.38127256115262	3.98908716190212	-2.29475301552971	0.0236100143287891	1	-3.4648803319931
GREB1L	-0.500601836335645	1.04673550580842	-2.29345887142442	0.0236869605203983	1	-3.46666560933522
RNASE8	0.0423727232522318	0.026498478022227	2.29318299535407	0.0237033918226124	1	-3.46704606740484
FRMD8	0.417819288215371	5.67410650704278	2.29279076302791	0.0237267706082327	1	-3.46758692220983
LYZL6	0.0213695334864449	0.00950499959025058	2.29254442440783	0.0237414638442808	1	-3.46792656061707
TNFSF8	0.481646054889607	1.9280204841654	2.29152866149248	0.0238021350785369	1	-3.469326701797
TFR2	0.584252445342864	1.7353376592001	2.29000606428198	0.0238933346593887	1	-3.47142445111693
IRF4	0.761316915034677	2.33344627258246	2.28780533941906	0.0240256950718437	1	-3.47445432577301
HMGCLL1	-0.379423695994048	0.73014521098726	-2.28573248120817	0.0241509539057337	1	-3.4773058213978
PIK3R2	-0.244147594636841	1.00580184202778	-2.28498431042108	0.0241963051459975	1	-3.4783344740895
TIMD4	0.566953363008204	1.20117316358429	2.28425837901882	0.0242403798181641	1	-3.47933226761632
ASNSD1	-0.378337629448429	5.96454234887856	-2.28422870275983	0.024242183101467	1	-3.47937305174837
LMOD1	0.765826292200522	3.20903574889994	2.28376681105947	0.0242702652302303	1	-3.48000777034029
THBS1	0.806971938370836	7.1016949747998	2.28361206701639	0.0242796797594197	1	-3.48022039006363
MRPS30	-0.372482215851693	4.28380350514198	-2.282176409469	0.0243671773052445	1	-3.48219239374131
RDH16	-0.352704841884761	0.903049406178004	-2.28177909042082	0.0243914411776709	1	-3.48273795457808
C2orf15	-0.476337274238824	2.62041070596276	-2.28073798278287	0.0244551212466255	1	-3.48416710933936
IGLL1	0.564915039277538	0.531829830953106	2.27621527797798	0.0247334533790307	1	-3.49036889244134
CDK5RAP2	-0.391385341757462	4.46019066401144	-2.27557886418893	0.0247728413188356	1	-3.49124071049975
MEIOB	0.166547003480287	0.123819055277157	2.27479054128048	0.024821707314729	1	-3.4923203306853
SLC8A3	0.0716234249335037	0.107108383544107	2.2735634491055	0.0248979397684634	1	-3.49400019810857
ACKR3	0.503137257583409	4.41703128323362	2.27334253559473	0.0249116857071938	1	-3.49430254019291
DMRT2	0.453043038840642	0.806254311688833	2.27288893328125	0.0249399311588628	1	-3.49492325909762
SFXN4	-0.373424094705779	5.34020838150693	-2.27064978959136	0.0250797729912355	1	-3.4979857552835
POF1B	-0.774616723524288	1.56100865360185	-2.27008198408376	0.0251153434578678	1	-3.49876192611011
POU2AF1	0.846631161511695	2.3905638268091	2.26916351992828	0.0251729748173577	1	-3.50001707414761
JSRP1	0.707559657829347	1.44312842065117	2.26546397181995	0.0254062886822857	1	-3.5050682531942
C17orf64	0.188729329621971	0.309355342376955	2.26320994462785	0.0255493678230293	1	-3.50814223624052
