p.value	HR	Low 95%CI	High 95%CI	coef	Gene	type
0.543800936062484	0.853712939947228	0.512330017078994	1.42257092018281	-0.158160277593075	HSPA6	None
0.12911298464505	0.782951953311178	0.570815788002351	1.07392572889253	-0.244683947184196	ACTL8	None
0.278282709417574	0.892157903071266	0.725857664862654	1.09655895713814	-0.11411214068822	CALB2	None
0.286365792558748	1.16919976775009	0.877167353037684	1.55845756476546	0.15631955561492	ANPEP	None
0.264829820919689	0.836587451047901	0.611373319074915	1.14476464937958	-0.178424220029283	MUC16	None
0.582545211295374	1.07912613006383	0.822519982576761	1.41578712888942	0.0761515747768252	COMP	None
0.264096750914364	0.857184019504122	0.654057747593338	1.12339383792467	-0.154102658225505	PRSS33	None
0.0235054127137291	0.642161459792799	0.437726104243496	0.942076189757755	-0.442915511907383	SCRG1	Protective
0.799790576282401	1.03952303067834	0.770441866061177	1.4025823088187	0.0387619836052167	CAPN13	None
0.834351823796073	1.02850612694323	0.790315611810432	1.33848406554506	0.0281073872571829	MZB1	None
0.8307375663494	0.976411441667323	0.784467063462697	1.21532100941316	-0.0238712223147402	IGLL5	None
0.85566597397685	0.975393171283119	0.74574045868317	1.27576803364767	-0.0249146366706963	MUC15	None
0.112850518570141	0.830910132103259	0.660859260378484	1.04471812536371	-0.185233634254777	KRT23	None
0.275472664315569	0.833100775472916	0.600029554550442	1.15670452701881	-0.182600665173576	SLC15A1	None
0.462172757160594	0.909624010608099	0.706648145453565	1.17090216113662	-0.0947239400075503	MARCO	None
0.0214409055006414	1.44595940110557	1.05605228148061	1.97982488775484	0.36877304665194	HBB	Risk
0.307294963076489	0.751498082036881	0.434242882297809	1.30053799458202	-0.285686621972164	TSPAN8	None
0.891174193264312	0.981089651584402	0.746334401542095	1.28968583312947	-0.0190914356368417	TINCR	None
0.641269565124812	1.08285629090835	0.774719955253097	1.51355046273038	0.0796022638385566	TNFRSF17	None
0.742299993509325	1.04181654678268	0.816095961968713	1.32996824850334	0.0409658690811823	PLIN4	None
0.0191512500384896	0.666509194007774	0.474667851648372	0.935884964937494	-0.40570134499824	RASD2	Protective
0.320927359014716	1.12851456393447	0.888838740853502	1.43281909583428	0.120902222761044	ADIPOQ	None
0.456952475378947	0.904332688055998	0.693843663307033	1.17867706219102	-0.100557968530828	SIX3	None
0.86792224842915	0.97963679867741	0.768704994375857	1.24844805789526	-0.0205733896061899	CD79A	None
0.773170113062259	0.963806050130762	0.750100645961971	1.23839661686647	-0.0368651974239925	MMP3	None
0.045392328520808	0.799667096700412	0.642406008558674	0.995425723025225	-0.223559767044445	S100A1	Protective
0.369571806571095	0.893106516305597	0.697684064070363	1.14326711837734	-0.113049426041234	EXTL1	None
0.198311452366268	1.17044653992393	0.920892641904516	1.4876273742254	0.157385334051399	ADH1B	None
